date,monthly_cases
2014-01-01,8398
2014-02-01,9016
2014-03-01,7842
2014-04-01,4709
2014-05-01,5944
2014-06-01,9872
2014-07-01,10106
2014-08-01,13542
2014-09-01,8468
2014-10-01,8025
2014-11-01,11410
2014-12-01,8161
2015-01-01,12037
2015-02-01,12041
2015-03-01,10248
2015-04-01,5920
2015-05-01,9432
2015-06-01,10097
2015-07-01,11365
2015-08-01,12269
2015-09-01,8988
2015-10-01,8912
2015-11-01,10688
2015-12-01,9622
2016-01-01,17088
2016-02-01,10954
2016-03-01,9046
2016-04-01,6984
2016-05-01,6345
2016-06-01,7205
2016-07-01,9600
2016-08-01,8519
2016-09-01,7198
2016-10-01,7212
2016-11-01,5106
2016-12-01,5664
2017-01-01,9018
2017-02-01,7402
2017-03-01,7350
2017-04-01,9650
2017-05-01,8920
2017-06-01,7839
2017-07-01,8889
2017-08-01,4735
2017-09-01,4510
2017-10-01,4841
2017-11-01,5512
2017-12-01,8415
2018-01-01,4510
2018-02-01,4747
2018-03-01,4516
2018-04-01,5524
2018-05-01,6072
2018-06-01,7137
2018-07-01,10105
2018-08-01,7242
2018-09-01,7121
2018-10-01,6416
2018-11-01,7736
2018-12-01,12525
2019-01-01,12911
2019-02-01,11011
2019-03-01,11557
2019-04-01,6653
2019-05-01,8227
2019-06-01,12633
2019-07-01,13549
2019-08-01,11815
2019-09-01,11762
2019-10-01,7709
2019-11-01,9092
2019-12-01,13363
2020-01-01,12484
2020-02-01,10968
2020-03-01,9078
2020-04-01,4986
2020-05-01,8239
2020-06-01,7977
2020-07-01,7928
2020-08-01,8582
2020-09-01,5385
2020-10-01,4515
2020-11-01,4596
2020-12-01,2433
2021-01-01,3371
2021-02-01,2259
2021-03-01,1856
2021-04-01,1894
2021-05-01,2421
2021-06-01,2506
2021-07-01,2162
2021-08-01,2085
2021-09-01,1706
2021-10-01,2306
2021-11-01,2010
2021-12-01,2402
2022-01-01,3609
2022-02-01,2657
2022-03-01,2753
2022-04-01,3942
2022-05-01,5884
2022-06-01,5883
2022-07-01,7792
2022-08-01,5429
2022-09-01,5619
2022-10-01,7623
2022-11-01,6734
2022-12-01,7807
