date,cases,rain_lagged,year,year_str,era,rain_date
2014-03-02,1630,57.3,2014,2014,Pre-lockdown (2014–2020),2014-01-05
2014-03-09,1904,99.8,2014,2014,Pre-lockdown (2014–2020),2014-01-12
2014-03-16,1698,28.5,2014,2014,Pre-lockdown (2014–2020),2014-01-19
2014-03-23,1473,2.8,2014,2014,Pre-lockdown (2014–2020),2014-01-26
2014-03-30,1137,0.7999999999999999,2014,2014,Pre-lockdown (2014–2020),2014-02-02
2014-04-06,1316,0.1,2014,2014,Pre-lockdown (2014–2020),2014-02-09
2014-04-13,1261,2.6,2014,2014,Pre-lockdown (2014–2020),2014-02-16
2014-04-20,980,21.0,2014,2014,Pre-lockdown (2014–2020),2014-02-23
2014-04-27,1152,0.4,2014,2014,Pre-lockdown (2014–2020),2014-03-02
2014-05-04,1282,14.0,2014,2014,Pre-lockdown (2014–2020),2014-03-09
2014-05-11,1282,34.6,2014,2014,Pre-lockdown (2014–2020),2014-03-16
2014-05-18,1618,57.5,2014,2014,Pre-lockdown (2014–2020),2014-03-23
2014-05-25,1762,14.8,2014,2014,Pre-lockdown (2014–2020),2014-03-30
2014-06-01,1577,103.0,2014,2014,Pre-lockdown (2014–2020),2014-04-06
2014-06-08,1803,52.3,2014,2014,Pre-lockdown (2014–2020),2014-04-13
2014-06-15,2036,21.1,2014,2014,Pre-lockdown (2014–2020),2014-04-20
2014-06-22,2310,62.8,2014,2014,Pre-lockdown (2014–2020),2014-04-27
2014-06-29,2146,32.7,2014,2014,Pre-lockdown (2014–2020),2014-05-04
2014-07-06,2153,62.2,2014,2014,Pre-lockdown (2014–2020),2014-05-11
2014-07-13,3146,79.8,2014,2014,Pre-lockdown (2014–2020),2014-05-18
2014-07-20,2989,44.6,2014,2014,Pre-lockdown (2014–2020),2014-05-25
2014-07-27,1818,60.6,2014,2014,Pre-lockdown (2014–2020),2014-06-01
2014-08-03,2975,24.9,2014,2014,Pre-lockdown (2014–2020),2014-06-08
2014-08-10,3071,11.0,2014,2014,Pre-lockdown (2014–2020),2014-06-15
