state,year,population_thousands
Johor,2014,3559.8
Johor,2015,3610.3
Johor,2016,3651.8
Johor,2017,3697.0
Johor,2018,3749.4
Johor,2019,3761.2
Johor,2020,4009.7
Johor,2021,4020.0
Johor,2022,4028.3
Johor,2023,4107.2
Kedah,2014,2062.7
Kedah,2015,2096.5
Kedah,2016,2119.7
Kedah,2017,2143.9
Kedah,2018,2163.0
Kedah,2019,2173.7
Kedah,2020,2131.4
Kedah,2021,2151.7
Kedah,2022,2163.1
Kedah,2023,2189.3
Kelantan,2014,1723.4
Kelantan,2015,1760.6
Kelantan,2016,1796.7
Kelantan,2017,1829.0
Kelantan,2018,1860.5
Kelantan,2019,1883.8
Kelantan,2020,1792.5
Kelantan,2021,1812.3
Kelantan,2022,1830.6
Kelantan,2023,1859.8
Melaka,2014,871.7
Melaka,2015,889.0
Melaka,2016,901.1
Melaka,2017,913.1
Melaka,2018,922.4
Melaka,2019,928.4
Melaka,2020,998.4
Melaka,2021,1004.5
Melaka,2022,1008.6
Melaka,2023,1028.3
Negeri Sembilan,2014,1079.6
Negeri Sembilan,2015,1088.8
Negeri Sembilan,2016,1099.3
Negeri Sembilan,2017,1114.0
Negeri Sembilan,2018,1122.9
Negeri Sembilan,2019,1126.2
Negeri Sembilan,2020,1200.0
Negeri Sembilan,2021,1204.2
Negeri Sembilan,2022,1207.9
Negeri Sembilan,2023,1224.9
Pahang,2014,1591.7
Pahang,2015,1607.9
Pahang,2016,1626.7
Pahang,2017,1647.0
Pahang,2018,1664.7
Pahang,2019,1671.4
Pahang,2020,1591.3
Pahang,2021,1601.5
Pahang,2022,1614.3
Pahang,2023,1643.2
Perak,2014,2458.8
Perak,2015,2466.9
Perak,2016,2482.1
Perak,2017,2493.2
Perak,2018,2503.5
Perak,2019,2508.8
Perak,2020,2496.0
Perak,2021,2515.8
Perak,2022,2514.4
Perak,2023,2541.2
Perlis,2014,245.1
Perlis,2015,248.5
Perlis,2016,251.0
Perlis,2017,252.0
Perlis,2018,253.5
Perlis,2019,254.0
Perlis,2020,284.9
Perlis,2021,287.6
Perlis,2022,289.8
Perlis,2023,293.1
Pulau Pinang,2014,1678.1
Pulau Pinang,2015,1698.1
Pulau Pinang,2016,1717.7
Pulau Pinang,2017,1744.1
Pulau Pinang,2018,1762.8
Pulau Pinang,2019,1768.8
Pulau Pinang,2020,1740.4
Pulau Pinang,2021,1740.0
Pulau Pinang,2022,1740.9
Pulau Pinang,2023,1772.6
Sabah,2014,3669.9
Sabah,2015,3720.5
Sabah,2016,3802.8
Sabah,2017,3855.9
Sabah,2018,3898.4
Sabah,2019,3904.4
Sabah,2020,3418.8
Sabah,2021,3412.6
Sabah,2022,3414.9
Sabah,2023,3596.7
Sarawak,2014,2664.0
Sarawak,2015,2701.5
Sarawak,2016,2738.7
Sarawak,2017,2766.3
Sarawak,2018,2791.7
Sarawak,2019,2806.0
Sarawak,2020,2453.7
Sarawak,2021,2465.6
Sarawak,2022,2473.5
Sarawak,2023,2502.3
Selangor,2014,6051.3
Selangor,2015,6178.0
Selangor,2016,6291.5
Selangor,2017,6380.7
Selangor,2018,6475.0
Selangor,2019,6506.1
Selangor,2020,6994.4
Selangor,2021,7014.7
Selangor,2022,7050.3
Selangor,2023,7209.7
Terengganu,2014,1140.4
Terengganu,2015,1161.0
Terengganu,2016,1183.4
Terengganu,2017,1208.0
Terengganu,2018,1228.3
Terengganu,2019,1244.5
Terengganu,2020,1149.4
Terengganu,2021,1170.7
Terengganu,2022,1186.6
Terengganu,2023,1210.0
W.P. Kuala Lumpur,2014,1737.4
W.P. Kuala Lumpur,2015,1780.4
W.P. Kuala Lumpur,2016,1789.7
W.P. Kuala Lumpur,2017,1793.2
W.P. Kuala Lumpur,2018,1790.0
W.P. Kuala Lumpur,2019,1782.5
W.P. Kuala Lumpur,2020,1982.1
W.P. Kuala Lumpur,2021,1964.0
W.P. Kuala Lumpur,2022,1961.2
W.P. Kuala Lumpur,2023,2005.7
W.P. Labuan,2014,93.8
W.P. Labuan,2015,95.1
W.P. Labuan,2016,96.8
W.P. Labuan,2017,97.6
W.P. Labuan,2018,99.0
W.P. Labuan,2019,99.3
W.P. Labuan,2020,95.1
W.P. Labuan,2021,96.0
W.P. Labuan,2022,96.9
W.P. Labuan,2023,99.0
W.P. Putrajaya,2014,80.9
W.P. Putrajaya,2015,83.0
W.P. Putrajaya,2016,84.4
W.P. Putrajaya,2017,87.5
W.P. Putrajaya,2018,97.2
W.P. Putrajaya,2019,103.7
W.P. Putrajaya,2020,109.2
W.P. Putrajaya,2021,115.2
W.P. Putrajaya,2022,117.0
W.P. Putrajaya,2023,118.8
