date,monthly_rain_mm
2014-01-01,189.2
2014-02-01,23.7
2014-03-01,123.89999999999999
2014-04-01,248.4
2014-05-01,266.1
2014-06-01,54.7
2014-07-01,57.1
2014-08-01,141.9
2014-09-01,147.9
2014-10-01,219.7
2014-11-01,368.9
2014-12-01,506.0
2015-01-01,122.60000000000001
2015-02-01,44.1
2015-03-01,124.39999999999999
2015-04-01,237.0
2015-05-01,127.3
2015-06-01,77.6
2015-07-01,80.7
2015-08-01,90.1
2015-09-01,113.1
2015-10-01,153.0
2015-11-01,349.0
2015-12-01,228.1
2016-01-01,145.2
2016-02-01,101.3
2016-03-01,83.9
2016-04-01,120.7
2016-05-01,282.09999999999997
2016-06-01,82.0
2016-07-01,123.2
2016-08-01,56.1
2016-09-01,118.8
2016-10-01,263.8
2016-11-01,343.7
2016-12-01,284.9
2017-01-01,415.9
2017-02-01,178.5
2017-03-01,367.8
2017-04-01,451.8
2017-05-01,399.2
2017-06-01,157.6
2017-07-01,223.0
2017-08-01,298.4
2017-09-01,406.3
2017-10-01,283.1
2017-11-01,610.7
2017-12-01,340.0
2018-01-01,411.0
2018-02-01,127.0
2018-03-01,292.5
2018-04-01,363.8
2018-05-01,455.3
2018-06-01,188.0
2018-07-01,182.4
2018-08-01,173.0
2018-09-01,298.0
2018-10-01,490.3
2018-11-01,472.5
2018-12-01,448.8
2019-01-01,208.0
2019-02-01,169.1
2019-03-01,159.2
2019-04-01,307.2
2019-05-01,275.3
2019-06-01,247.79999999999998
2019-07-01,148.1
2019-08-01,130.2
2019-09-01,178.3
2019-10-01,402.8
2019-11-01,401.5
2019-12-01,290.1
2020-01-01,153.7
2020-02-01,172.0
2020-03-01,205.1
2020-04-01,303.7
2020-05-01,269.5
2020-06-01,254.5
2020-07-01,359.5
2020-08-01,142.9
2020-09-01,309.4
2020-10-01,200.5
2020-11-01,477.3
2020-12-01,388.1
2021-01-01,219.9
2021-02-01,54.1
2021-03-01,334.5
2021-04-01,301.3
2021-05-01,320.9
2021-06-01,184.6
2021-07-01,169.8
2021-08-01,278.2
2021-09-01,298.5
2021-10-01,120.7
2021-11-01,310.2
2021-12-01,461.1
2022-01-01,236.3
2022-02-01,183.5
2022-03-01,203.1
2022-04-01,275.90000000000003
2022-05-01,141.3
2022-06-01,306.1
2022-07-01,154.2
2022-08-01,263.3
2022-09-01,235.0
2022-10-01,200.6
2022-11-01,400.09999999999997
2022-12-01,338.8
